"COM
CODE",COURSENO,COURSETITLE,CREDIT L P U,SEC,STAT,INSTRUCTOR IN CHARGE/Instructor,DAYS/ H,ROOM,COMPRE DATE
1560,CHEM F312,PHYSICAL CHEMISTRY IV,3 0 3,1,L,RAGHU NATH BEHERA/ Rabi Narayan Panda,M W F 9,C302,13/12/18 (FN)
1560,CHEM F312,PHYSICAL CHEMISTRY IV,3 0 3,1,T,Raghu Nath Behera/ Rabi Narayan Panda,T 7,C302,
1558,CHEM F313,INSTRU METHODS OF ANAL,3 1 4,1,L,"PRAKASH HALAN/ Sunil Bhand/ Aditya Prasad Koley/ Narendra Nath Ghosh/ Bhavana P",T TH S 2,C402,07/12/18 (FN)
1558,CHEM F313,INSTRU METHODS OF ANAL,3 1 4,1,P,"Prakash Halan, Sunil Bhand, Aditya Prasad Koley, Narendra Nath Ghosh, Bhavana P, Arun Kumar Prusty, Aruna Chandra Singh, Madhurya Chandel, Neha Saran, Priyanka Makkar",TH 7 8 9,,
1580,CHEM F329,ANALYTICAL CHEMISTRY,3 1 4,1,L,SUNIL BHAND/ Prakash Halan,M W F 7,C306,14/12/18 (FN)
1580,CHEM F329,ANALYTICAL CHEMISTRY,3 1 4,1,P,Sunil Bhand/ Prakash Halan,,,
1583,CHEM F333,CHEMISTRY OF MATERIALS,3 0 3,1,L,NARENDRA NATH GHOSH/ Rashmi Chauhan,M W F 10,C305,09/12/18 (FN)
1587,CHEM F337,GREEN CHEM & CATALYSIS,3 0 3,1,L,MAINAK BANERJEE/ Amrita Chatterjee,M W F 7,C302,14/12/18 (FN)
1669,CHEM F366,LABORATORY PROJECT,3,1,I,TINCY LIS THOMAS,,,
1739,CHEM F367,LABORATORY PROJECT,3,1,I,TINCY LIS THOMAS,,,
1688,CHEM F376,DESIGN PROJECT,3,1,I,ANJAN CHATTOPADHYAY,,,
1755,CHEM F377,DESIGN PROJECT,3,1,I,ANJAN CHATTOPADHYAY,,,
1713,CHEM F491,SPECIAL PROJECTS,3,1,I,ANJAN CHATTOPADHYAY,,,
1092,CS F213,OBJECT ORIENTED PROG,3 1 4,1,L,RAHUL THAKUR,T TH S 4,LT4,05/12/18 (FN)
1092,CS F213,OBJECT ORIENTED PROG,3 1 4,1,P,Neena Goveas,T 8 9,,
1090,CS F214,LOGIC IN COMPUTER SC,3 0 3,1,L,A BASKAR,M W F 2,LT4,10/12/18 (FN)
1090,CS F214,LOGIC IN COMPUTER SC,3 0 3,1,T,A Baskar,S 1,LT4,
1093,CS F215,DIGITAL DESIGN,3 1 4,1,L,Sarang C Dhongdi,M W F 4,LT2,08/12/18 (AN)
1093,CS F215,DIGITAL DESIGN,3 1 4,1,T,Sarang C Dhongdi,F 1,LT2,
1093,CS F215,DIGITAL DESIGN,3 1 4,2,L,Sudeep Baudha,M W F 4,DLT6,
1093,CS F215,DIGITAL DESIGN,3 1 4,2,T,Sudeep Baudha,F 1,LT1,
1093,CS F215,DIGITAL DESIGN,3 1 4,3,L,PRAVIN MANE,T TH S 3,LT3,
1093,CS F215,DIGITAL DESIGN,3 1 4,3,T,Pravin Mane,T 1,LT3,
1093,CS F215,DIGITAL DESIGN,3 1 4,4,L,Debidas Kundu/Shailendra Dhakad,T TH S 3,C405,
1093,CS F215,DIGITAL DESIGN,3 1 4,4,T,Debidas Kundu/Shailendra Dhakad,T 1,LT2,
1093,CS F215,DIGITAL DESIGN,3 1 4,1,P,"Hrishikesh Sonalikar ,Shailendra Dhakad, Manish Varun Yadav ,Prateek Singh",W 7 8,,
1093,CS F215,DIGITAL DESIGN,3 1 4,2,P,"Pravin Mane,Hrishikesh Sonalikar , Manish Varun Yadav",F 7 8,,
1093,CS F215,DIGITAL DESIGN,3 1 4,3,P,"Darshak Bhatt, Sudeep Baudha  , Manish Varun Yadav",S 5 6,,
1091,CS F222,DISCR STRUC FOR COMP SCI,3 0 3,1,L,NEENA GOVEAS,M W F 3,LT4,03/12/18 (AN)
1091,CS F222,DISCR STRUC FOR COMP SCI,3 0 3,1,T,Neena Goveas,M 1,LT4,
1655,CS F266,STUDY PROJECT,3,1,I,ASHWIN SRINIVASAN,,,
1316,CS F301,PRINCIPLES OF PROGG LANG,2 0 2,1,L,RAMPRASAD JOSHI,M W F 3,LT2,03/12/18 (FN)
1316,CS F301,PRINCIPLES OF PROGG LANG,2 0 2,1,T,Ramprasad Joshi,W 1,LT2,
1321,CS F314,"SOFTWARE DEVELOPMENT FOR PORTABLE DEVICES",2 1 3,1,L,SREEJITH V,T 7 M 9 10,C404,09/12/18 (FN)
1317,CS F342,COMPUTER ARCHITECTURE,3 1 4,1,L,GEETA PATIL,T TH S 5,LT4,04/12/18 (AN)
1317,CS F342,COMPUTER ARCHITECTURE,3 1 4,1,P,"Geeta Patil, Alavani Gargi Kabirdas",TH 8 9,,
1314,CS F351,THEORY OF COMPUTATION,3 0 3,1,L,BHARAT M DESHPANDE,M W F 2,LT3,10/12/18 (AN)
1314,CS F351,THEORY OF COMPUTATION,3 0 3,1,T,Bharat M Deshpande,TH 1,LT3,
1670,CS F366,LABORATORY PROJECT,3,1,I,ASHWIN SRINIVASAN,,,
1740,CS F367,LABORATORY PROJECT,3,1,I,ASHWIN SRINIVASAN,,,
1315,CS F372,OPERATING SYSTEMS,3 0 3,1,L,SHUBHANGI GAWALI,T TH S 3,LT4,12/12/18 (FN)
1315,CS F372,OPERATING SYSTEMS,3 0 3,1,T,Shubhangi Gawali,TH 7                     LT4,,
1689,CS F376,DESIGN PROJECT,3,1,I,ASHWIN SRINIVASAN,,,
1756,CS F377,DESIGN PROJECT,3,1,I,ASHWIN SRINIVASAN,,,
1322,CS F415,DATA MINING,3 0 3,1,L,HEMANT RATHORE,T TH S 2,A603,07/12/18 (FN)
1333,CS F407,ARTIFICIAL INTELLIGENCE,3 0 3,1,L,RAMPRASAD JOSHI,M W F 8,A604,01/12/18 (AN)
1326,CS F446,DATA STORAGE TECHNOLO & NETWORKS,3 0 3,1,L,BIJU K R,M W F 4,A602,08/12/18 (FN)
1857,CS F469,INFORMATION RETRIEVAL,3 0 3,1,L,SWATI AGARWAL,M W F 4,A604,08/12/18 (FN)
1714,CS F491,SPECIAL PROJECTS,3,1,I,ASHWIN SRINIVASAN,,,
2106,CS G520,ADV DATA MINING,3 1 4,1,L,SWATI AGARWAL,M W F 8,C404,01/12/18 (FN)
2004,CS G525,ADV COMPUTER NETWORKS,3 2 5,1,L,VINAYAK NAIK,M W F 3,A506,03/12/18 (FN)
2005,CS G526,ADV ALGO & COMPLEXITY,3 2 5,1,L,A BASKAR,T TH S 5,A506,04/12/18 (AN)
300,CS G541,PERVASIVE COMPUTING,4,1,L,SREEJITH V,T TH S 3,A506,02/12/18 (AN)
918,CS G553,RECONFIG COMPUTING,5,1,L,AMALIN PRINCE,T TH S 4,L201,03/12/18 (AN)
918,CS G553,RECONFIG COMPUTING,5,1,P,"Amalin Prince, Gibin Chacko George",,,
782,CS G623,ADVANCED OPERAT SYSTEMS,3 2 5,1,L,DEBASIS DAS,M W F 2,A505,10/12/18 (AN)
362,DE G531,PRODUCT DESIGN,3 2 5,1,L,Karthikeyan G,M W F 2,L201,13/12/18 (FN)
678,DE G611,DYNAMICS & VIBRATION,3 2 5,1,L,SANDEEP JOSE,M W F 7,C301,10/12/18 (FN)
625,DE G631,MATERIALS TECH & TESTING,5,1,L,CHAUDHARI VIKAS VINAYAK,T TH 2 T 7,A505,07/12/18 (FN)
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,1,L,Shashidhara Kotian,M W F 2,DLT5,05/12/18 (FN)
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,1,T,Shashidhara Kotian,T 1,DLT5,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,2,L,Shashidhara Kotian,M W F 2,DLT5,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,2,T,Shashidhara Kotian,T 1,DLT5,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,3,L,NARAYAN SURESH MANJAREKAR,T TH S 4,LT3,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,3,T,Narayan Suresh Manjarekar,F 1,LT3,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,4,L,Narayan Suresh Manjarekar,T TH S 4,LT3,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,4,T,Narayan Suresh Manjarekar,F 1,LT3,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,1,P,"Vivek K P Chandran, D R Karthik",M 2 3 4,,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,2,P,"Gautam G Bacher,D R Karthik",T 3 4 5,,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,3,P,Shashidhara Kotian,T 7 8 9,,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,4,P,"Narayan Suresh Manjarekar,Vivek K P Chandran",W 2 3 4,,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,5,P,Gautam G Bacher,TH 3 4 5,,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,6,P,"Shashidhara Kotian, D R Karthik",TH 7 8 9,,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,7,P,"Narayan Suresh Manjarekar,Vivek K P Chandran",F 2 3 4,,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,1,L,Prasanta Kumar Das/ Raghunath Ratabole,W F 8,LT2,01/12/18 (AN)
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,1,T,KINJAL BANERJEE,M 8 S 1,A501,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,2,T,Chandradew Sharma,M 8 S 7,C306,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,3,T,Prasanta Kumar Das/ Raghunath Ratabole,M 8 S 1,C301,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,4,T,Ethirajulu Kannan,M 8 S 1,A601,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,5,T,Kinjal Banerjee,T 10  TH 1,C402,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,6,T,Chandradew Sharma,T 8 TH 8,C301,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,7,T,Prasanta Kumar Das/ Raghunath Ratabole,T 8 TH 10,C404,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,8,T,Ethirajulu Kannan,TH 8 T 10,C404,
1383,ECE F214,ELECTRONIC DEVICES,3 0 3,1,L,Chembiyan T,M W F 3,DLT5,03/12/18 (AN)
1383,ECE F214,ELECTRONIC DEVICES,3 0 3,1,T,Chembiyan T,M 1,DLT5,
1383,ECE F214,ELECTRONIC DEVICES,3 0 3,2,L,Abhijit Pethe,T TH S 5,C401,
1383,ECE F214,ELECTRONIC DEVICES,3 0 3,2,T,Abhijit Pethe,M 1,LT1,
1383,ECE F214,ELECTRONIC DEVICES,3 0 3,3,L,RAMESHA C K,T TH S 5,LT3,
1383,ECE F214,ELECTRONIC DEVICES,3 0 3,3,T,Ramesha C K,M 1,LT3,
1382,ECE F215,DIGITAL DESIGN,3 1 4,1,L,Sarang C Dhongdi,M W F 4,LT2,08/12/18 (AN)
1382,ECE F215,DIGITAL DESIGN,3 1 4,1,T,Sarang C Dhongdi,F 1,LT2,
1382,ECE F215,DIGITAL DESIGN,3 1 4,2,L,Sudeep Baudha,M W F 4,DLT6,
1382,ECE F215,DIGITAL DESIGN,3 1 4,2,T,Sudeep Baudha,F 1,LT1,
1382,ECE F215,DIGITAL DESIGN,3 1 4,3,L,PRAVIN MANE,T TH S 3,LT3,
1382,ECE F215,DIGITAL DESIGN,3 1 4,3,T,Pravin Mane,T 1,LT3,
1382,ECE F215,DIGITAL DESIGN,3 1 4,4,L,Debidas Kundu/Shailendra Dhakad,T TH S 3,C405,
1382,ECE F215,DIGITAL DESIGN,3 1 4,4,T,Debidas Kundu/Shailendra Dhakad,T 1,LT2,
1382,ECE F215,DIGITAL DESIGN,3 1 4,1,P,"Debidas Kundu ,Hrishikesh Sonalikar ,Naik Akhilesh Gurudas",M 2 3,,
1382,ECE F215,DIGITAL DESIGN,3 1 4,2,P,"Darshak Bhatt, Sudeep Baudha , Naik Akhilesh Gurudas",T 4 5,,
1382,ECE F215,DIGITAL DESIGN,3 1 4,3,P,"Debidas Kundu , Shailendra Dhakad, Prateek Singh",W 2 3,,
1382,ECE F215,DIGITAL DESIGN,3 1 4,4,P,"Darshak Bhatt, Sudeep Baudha , Naik Akhilesh Gurudas",TH 4 5,,
1382,ECE F215,DIGITAL DESIGN,3 1 4,5,P,"Debidas Kundu , Shailendra Dhakad, Prateek Singh",F 2 3,,
1023,ECON F211,PRINCIPLES OF ECONOMICS,3 0 3,1,L,SUKUMAR VELLAKKAL,M W F 4,A502,10/12/18 (FN)
1023,ECON F211,PRINCIPLES OF ECONOMICS,3 0 3,1,T,Sukumar Vellakkal,TH 8,A502,
1120,ECON F212,FUNDA OF FIN AND ACCOUNT,3 0 3,1,L,RITIKA JAISWAL/ Saripalle Venkata Raman,T TH S 2,LT4,07/12/18 (AN)
1120,ECON F212,FUNDA OF FIN AND ACCOUNT,3 0 3,1,T,Ritika Jaiswal/ Saripalle Venkata Raman,T 1,LT4,
1121,ECON F213,MATHEMATIC & STAT METHOD,3 0 3,1,L,RAJORSHI SEN GUPTA/ Partha Saha,T TH 3 TH 7,C308,12/12/18 (FN)
1121,ECON F213,MATHEMATIC & STAT METHOD,3 0 3,1,T,Rajorshi Sen Gupta/ Partha Saha,M 1,C301,
1145,ECON F214,ECONOMIC ENV OF BUSINES,3 0 3,1,L,MRIDULA GOEL,M W F 3,A502,03/12/18 (AN)
1145,ECON F214,ECONOMIC ENV OF BUSINES,3 0 3,1,T,Mridula Goel,T 8,A502,
1442,ECON F241,ECONOMETRIC METHODS,3 0 3,1,L,ASWINI KUMAR MISHRA,M W F 9,A502,06/12/18 (FN)
1656,ECON F266,STUDY PROJECT,3,1,I,ASWINI KUMAR MISHRA,,,
1446,ECON F311,INTERNATIONAL ECONOMICS,3 0 3,1,L,RAJORSHI SEN GUPTA,M W F 5,A502,11/12/18 (FN)
1446,ECON F311,INTERNATIONAL ECONOMICS,3 0 3,1,T,Rajorshi Sen Gupta,W 1,C308,
1447,ECON F312,MONEY BANK & FIN MARKETS,3 0 3,1,L,SUKUMAR VELLAKKAL,M W F 9,C308,13/12/18 (FN)
1447,ECON F312,MONEY BANK & FIN MARKETS,3 0 3,1,T,Sukumar Vellakkal,T 7,A604,
1448,ECON F313,ISSUES IN ECONOMIC DEV,3 0 3,1,L,DEBASIS PATNAIK,T TH S 2,A604,07/12/18 (FN)
1448,ECON F313,ISSUES IN ECONOMIC DEV,3 0 3,1,T,Debasis Patnaik,TH 7,A502,
1923,ECON F315,FINANCIAL MANAGEMENT,3 0 3,1,L,ASWINI KUMAR MISHRA/ Ram Mohan Menon,M W F 7,LT4,02/12/18 (FN)
2184,ECON F345,BEHAVIORAL ECONOMICS,3 0 3,1,L,ASWINI KUMAR MISHRA,T TH S 4,A601,05/12/18 (AN)
1565,ECON F354,DERIVATIVE & RISK MGMT,3 0 3,1,L,RITIKA JAISWAL/ Ram Mohan Menon,M W F 5,LT3,11/12/18 (FN)
1547,ECON F355,"BUSINESS ANALYSIS AND VALUATION",3 0 3,1,L,RITIKA JAISWAL,M W F 10,C402,09/12/18 (FN)
1684,ECON F366,LABORATORY PROJECT,3,1,I,ASWINI KUMAR MISHRA,,,
1741,ECON F367,LABORATORY PROJECT,3,1,I,ASWINI KUMAR MISHRA,,,
1690,ECON F376,DESIGN PROJECT,3,1,I,ASWINI KUMAR MISHRA,,,
1757,ECON F377,DESIGN PROJECT,3,1,I,ASWINI KUMAR MISHRA,,,
1566,ECON F412,SECUR ANAL & PORTFOL MGT,3 0 3,1,L,DEBASIS PATNAIK,M W F 8,A602,01/12/18 (AN)
1553,ECON F415,NEW VENTRURE CREATION,3 0 3,1,L,MRIDULA GOEL,M W 10 11,L201,TBA
1726,ECON F491,SPECIAL PROJECT,3,1,I,ASWINI KUMAR MISHRA,,,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,1,L,Shashidhara Kotian,M W F 2,DLT5,05/12/18 (FN)
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,1,T,Shashidhara Kotian,T 1,DLT5,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,2,L,Shashidhara Kotian,M W F 2,DLT5,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,2,T,Shashidhara Kotian,T 1,DLT5,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,3,L,NARAYAN SURESH MANJAREKAR,T TH S 4,LT3,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,3,T,Narayan Suresh Manjarekar,F 1,LT3,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,4,L,Narayan Suresh Manjarekar,T TH S 4,LT3,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,4,T,Narayan Suresh Manjarekar,F 1,LT3,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,1,P,"Vivek K P Chandran, D R Karthik",M 2 3 4,,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,2,P,"Gautam G Bacher,D R Karthik",T 3 4 5,,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,3,P,Shashidhara Kotian,T 7 8 9,,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,4,P,"Narayan Suresh Manjarekar,Vivek K P Chandran",W 2 3 4,,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,5,P,Gautam G Bacher,TH 3 4 5,,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,6,P,"Shashidhara Kotian, D R Karthik",TH 7 8 9,,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,7,P,"Narayan Suresh Manjarekar,Vivek K P Chandran",F 2 3 4,,
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,1,L,Prasanta Kumar Das/ Raghunath Ratabole,W F 8,LT2,01/12/18 (AN)
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,1,T,KINJAL BANERJEE,M 8 S 1,A501,
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,2,T,Chandradew Sharma,M 8 S 7,C306,
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,3,T,Prasanta Kumar Das/ Raghunath Ratabole,M 8 S 1,C301,
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,4,T,Ethirajulu Kannan,M 8 S 1,A601,
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,5,T,Kinjal Banerjee,T 10  TH 1,C402,
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,6,T,Chandradew Sharma,T 8 TH 8,C301,
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,7,T,Prasanta Kumar Das/ Raghunath Ratabole,T 8 TH 10,C404,
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,8,T,Ethirajulu Kannan,TH 8 T 10,C404,
1080,EEE F214,ELECTRONIC DEVICES,3 0 3,1,L,Chembiyan T,M W F 3,DLT5,03/12/18 (AN)
1080,EEE F214,ELECTRONIC DEVICES,3 0 3,1,T,Chembiyan T,M 1,DLT5,
1080,EEE F214,ELECTRONIC DEVICES,3 0 3,2,L,Abhijit Pethe,T TH S 5,C401,
1080,EEE F214,ELECTRONIC DEVICES,3 0 3,2,T,Abhijit Pethe,M 1,LT1,
1080,EEE F214,ELECTRONIC DEVICES,3 0 3,3,L,RAMESHA C K,T TH S 5,LT3,
1080,EEE F214,ELECTRONIC DEVICES,3 0 3,3,T,Ramesha C K,M 1,LT3,
1079,EEE F215,DIGITAL DESIGN,3 1 4,1,L,Sarang C Dhongdi,M W F 4,LT2,08/12/18 (AN)
1079,EEE F215,DIGITAL DESIGN,3 1 4,1,T,Sarang C Dhongdi,F 1,LT2,
1079,EEE F215,DIGITAL DESIGN,3 1 4,2,L,Sudeep Baudha,M W F 4,DLT6,
1079,EEE F215,DIGITAL DESIGN,3 1 4,2,T,Sudeep Baudha,F 1,LT1,
1079,EEE F215,DIGITAL DESIGN,3 1 4,3,L,PRAVIN MANE,T TH S 3,LT3,
1079,EEE F215,DIGITAL DESIGN,3 1 4,3,T,Pravin Mane,T 1,LT3,
1079,EEE F215,DIGITAL DESIGN,3 1 4,4,L,Debidas Kundu/Shailendra Dhakad,T TH S 3,C405,
1079,EEE F215,DIGITAL DESIGN,3 1 4,4,T,Debidas Kundu/Shailendra Dhakad,T 1,LT2,
1079,EEE F215,DIGITAL DESIGN,3 1 4,1,P,"Debidas Kundu ,Hrishikesh Sonalikar ,Naik Akhilesh Gurudas",M 2 3,,
1079,EEE F215,DIGITAL DESIGN,3 1 4,2,P,"Darshak Bhatt, Sudeep Baudha , Naik Akhilesh Gurudas",T 4 5,,
1079,EEE F215,DIGITAL DESIGN,3 1 4,3,P,"Debidas Kundu , Shailendra Dhakad, Prateek Singh",W 2 3,,
1079,EEE F215,DIGITAL DESIGN,3 1 4,4,P,"Darshak Bhatt, Sudeep Baudha , Naik Akhilesh Gurudas",TH 4 5,,
1079,EEE F215,DIGITAL DESIGN,3 1 4,5,P,"Debidas Kundu , Shailendra Dhakad, Prateek Singh",F 2 3,,
1657,EEE F266,STUDY PROJECT,3,1,I,SHASHIDHARA KOTIAN,,,
1242,EEE F311,COMMUNICATION SYSTEMS,3 1 4,1,L,NITIN SHARMA,M W F 3,LT3,10/12/18 (AN)
1242,EEE F311,COMMUNICATION SYSTEMS,3 1 4,1,P,"Abhijit Dey , Ashish Chittora ,Khairnar Vikas Vishnu",M 7 8 9,,
1242,EEE F311,COMMUNICATION SYSTEMS,3 1 4,2,P,"Nitin Sharma, Khairnar Vikas Vishnu,Somesula Sivasagar N N",T 7 8  9,,
1242,EEE F311,COMMUNICATION SYSTEMS,3 1 4,3,P,"Nitin Sharma, Ashish Chittora ,Somesula Sivasagar N N",TH 7 8 9,,
1243,EEE F313,ANALOG & DIGIT VLSI DESGN,3 0 3,1,L,PRAVIN MANE,M W F 2,LT2,03/12/18 (FN)
1243,EEE F313,ANALOG & DIGIT VLSI DESGN,3 0 3,1,T,Pravin Mane,TH 1,LT2,
1243,EEE F313,ANALOG & DIGIT VLSI DESGN,3 0 3,2,L,Darshak Bhatt,M W F 2,C401,
1243,EEE F313,ANALOG & DIGIT VLSI DESGN,3 0 3,2,T,Darshak Bhatt,TH 1,LT4,
1255,EEE F346,DATA COMM NETWORKS,2 0 2,1,L,ANUPAMA K R,T TH S 5,A605,04/12/18 (AN)
1731,EEE F366,LABORATORY PROJECT,3,1,I,SHASHIDHARA KOTIAN,,,
1742,EEE F367,LABORATORY PROJECT,3,1,I,SHASHIDHARA KOTIAN,,,
1691,EEE F376,DESIGN PROJECT,3,1,I,SHASHIDHARA KOTIAN,,,
1758,EEE F377,DESIGN PROJECT,3,1,I,SHASHIDHARA KOTIAN,,,
1252,EEE F414,TELECOM SWIT SYS & NETWK,3 0 3,1,L,RAGHURAMA GUNAJE/ Abhijit Dey,T TH S 2,A602,07/12/18 (FN)
1254,EEE F422,MODERN CONTROL SYSTEMS,3 0 3,1,L,NARAYAN SURESH MANJAREKAR/Vivek K P Chandran,M W F 9,A603,13/12/18 (FN)
1250,EEE F431,MOBILE TELECOM NETWORKS,3 0 3,1,L,NITIN SHARMA,T TH S 4,C405,05/12/18 (AN)
1247,EEE F432,MEDICAL INSTRUMENTATION,3 0 3,1,L,CH S SANKHAR REDDY,M W F 5,C301,11/12/18 (AN)
1253,EEE F433,"ELECTROMAGNETIC FIELDS & WAVES",3 0 3,1,L,SUDEEP BAUDHA,W TH F 8,A603,01/12/18 (AN)
1256,EEE F434,DIGITAL SIGNAL PROCESS,3 1 4,1,L,SARANG C DHONGDI,T TH S 3,A603,12/12/18 (FN)
1256,EEE F434,DIGITAL SIGNAL PROCESS,3 1 4,1,P,Sarang C Dhongdi,,,
1257,EEE F435,DIGITAL IMAGE PROCESSING,3 0 3,1,L,ASHISH CHITTORA,T W F 7,A601,14/12/18 (FN)
1249,EEE F472,SATELLITE COMMUNICAITON,3 0 3,1,L,HRISHIKESH SONALIKAR,M W F 5,C401,11/12/18 (AN)
1854,EEE F473,WIND ELECTRICAL SYSTEM,3 0 3,1,L,MUKUND KESHAVRAO DESHMUKH,T TH S 4,A603,05/12/18 (AN)
1716,EEE F491,SPECIAL PROJECTS,3,1,I,SHASHIDHARA KOTIAN,,,
324,EEE G512,EMBEDDED SYSTEM DESIGN,3 1 4,1,L,ANUPAMA K R,M W F 5,A505,11/12/18 (FN)
324,EEE G512,EMBEDDED SYSTEM DESIGN,3 1 4,1,P,"Anupama K R, Joshi Abhishek Dilip",,,
921,EEE G626,HARDWARE SOFTWARE CO-DSGN,4,1,L,AMALIN PRINCE,M W F 5,A506,11/12/18 (AN)
921,EEE G626,HARDWARE SOFTWARE CO-DSGN,4,1,P,"Amalin Prince, Gibin Chacko George",,,
1539,FIN F311,DERIVATIVE & RISK MGMT,3 0 3,1,L,RITIKA JAISWAL/ Ram Mohan Menon,M W F 5,LT3,11/12/18 (FN)
1545,FIN F313,SECUR ANAL & PORTFOL MGT,3 0 3,1,L,DEBASIS PATNAIK,M W F 8,A602,01/12/18 (AN)
1542,FIN F315,FINANCIAL MANAGEMENT,3 0 3,1,L,ASWINI KUMAR MISHRA/ Ram Mohan Menon,M W F 7,LT4,02/12/18 (FN)
1130,GS F211,MOD POLITICAL CONCEPTS,3 0 3,1,L,SOLANO DA SILVA,M W F 9,A605,13/12/18 (FN)
1131,GS F212,"ENVIRONMENT, DEVELOPMENT & CLIMATE CHANGE",3 0 3,1,L,RAJIV KUMAR,M W F 9,C401,13/12/18 (FN)
1171,GS F233,PUBLIC POLICY,3 0 3,1,L,RAJIV KUMAR,T TH S 2,C405,07/12/18 (AN)
1172,GS F234,DEVELOPMENT ECONOMICS,3 0 3,1,L,RUDRA PRASAD PRADHAN,M W F 7,LT3,14/12/18 (FN)
1159,GS F242,CULTURAL STUDIES,3 0 3,1,L,GEETHA K A,M W F 5,A604,11/12/18 (AN)
1165,GS F245,EFFECTIVE PUBLIC SPEAK,2 1 3,1,L,SHALINI UPADHYAY,M W F 9,LT4,13/12/18 (FN)
1137,GS F322,CRITI ANAL OF LIT & CINE,3 0 3,1,L,GEETHA B,T TH S 2,A605,07/12/18 (AN)
1524,GS F326,CREATIVE THINKING,2 1 3,1,L,SHALINI UPADHYAY,T TH S 5,A501,04/12/18 (AN)
1602,HSS F221,READINGS FROM DRAMA,3 0 3,1,L,BASAVADATTA MITRA,M W F 2,A501,02/12/18 (AN)
1603,HSS F222,LINGUISTICS,3 0 3,1,L,GEETHA K A,M W F 9,A602,13/12/18 (FN)
1152,HSS F227,CROSS CULTURAL SKILLS,3 0 3,1,L,BASAVADATTA MITRA,M W F 7,C402,02/12/18 (FN)
1775,HSS F232,INTRO TO DEV STUDIES,3 0 3,1,L,SOLANO DA SILVA,T TH S 5,C405,04/12/18 (AN)
1628,HSS F236,SYMBOLIC LOGIC,3 0 3,1,L,REENA CHERUVALATH,M W F 7,A605,02/12/18 (FN)
1776,HSS F266,STUDY PROJECT,3,1,I,REENA CHERUVALATH,,,
2103,HSS F313,"INTRODUCTION TO CONTEMPORARY ARTS",3 0 3,1,L,PARICHAY PATRA,M W F 2,A604,10/12/18 (AN)
1588,HSS F314,"MARITIME STUDIES AND BLUE ECONOMY",3 0 3,1,L,RUDRA PRASAD PRADHAN,T TH S 2,LT3,07/12/18 (AN)
1601,HSS F332,CINEMATIC ART,3,1,L,PARICHAY PATRA,T TH S 2,A601,07/12/18 (AN)
1605,HSS F336,MODERN FICTION,3 0 3,1,L,NILAK DATTA,T TH S 2,A501,07/12/18 (AN)
